epoch,val_mse
0,0.4519486596852448
1,0.34252735992317523
2,0.27651851836052754
3,0.2534039245684997
4,0.24226801498886488
5,0.23698764139090053
6,0.23670516772268754
7,0.2359479973309262
8,0.23521361724305115
9,0.23539487470984874
10,0.2340681009694122
11,0.23192698477726353
12,0.22936350279945086
13,0.22758931485261719
14,0.22323291957008573
15,0.22432313075742347
16,0.22143000152695202
17,0.22087215506321375
18,0.22057559580924568
19,0.22225921202020404
20,0.22090364479081928
21,0.2214263289079396
22,0.22008267004289836
23,0.2210182916270863
24,0.219396188068994
25,0.21962493261744562
26,0.22113656954621946
27,0.21993669923698786
28,0.21845648523597244
29,0.2173781872354254
30,0.2179540264026153
31,0.21915341692264503
32,0.21762976130416972
33,0.2185752512088659
34,0.2175167305139629
35,0.21778094225117975
36,0.21696630993412522
37,0.21571093300568875
38,0.21632538428701426
39,0.21402387061543926
40,0.2151532465464661
41,0.21630162477534665
42,0.2158590831400433
43,0.2157137604725781
44,0.21591056029983732
45,0.21594569767498487
46,0.2152729906071933
47,0.21550291336307362
48,0.21536828096049584
49,0.2161270907521765
50,0.21378415259275635
51,0.21357467444015538
52,0.21456477536856405
53,0.2137471774592349
54,0.2132486420683886
55,0.21374289486369752
56,0.2150658583821304
57,0.21227469358105744
58,0.21462082785335382
59,0.21367810055528177
60,0.21252811592458873
61,0.21225767415204383
62,0.212225297621087
63,0.2125098916893668
64,0.2110244017999512
65,0.21416820222444002
66,0.21371870548637303
67,0.21219181155812425
68,0.21148147750277355
69,0.21104554020266636
70,0.2105173762598072
71,0.21217546456663797
72,0.21127904897458083
73,0.21194532369960103
74,0.21196691824736819
75,0.21169385968661275
76,0.2106004432490285
77,0.21130683289046234
78,0.21084645757220843
79,0.21120592106698766
80,0.2111048941745842
81,0.21155634959749114
82,0.21127198999039687
83,0.2097458869098572
84,0.21003829953103936
85,0.21221269219751698
86,0.20947093342995632
87,0.21006784342935375
88,0.20881763589269417
89,0.21063048295555162
90,0.21018057963198278
91,0.2091791550882603
92,0.20993886310290397
93,0.2095408780640589
94,0.20986402438645124
95,0.2104829226739133
96,0.20813272801492622
97,0.2106558938640991
98,0.21156633524912713
99,0.2094571577796906
