epoch,train_objective,val_mse
0,1654.9860127766926,0.2892638768367465
1,1554.3795166015625,0.2441923883489529
2,1488.8241628011067,0.2154148516140229
3,1432.0757090250652,0.19783078430521808
4,1385.0919291178386,0.19202882751937986
5,1348.9801584879558,0.18963875390489413
6,1315.6565500895183,0.1886231307127155
7,1283.8236796061199,0.1873726932199468
8,1253.2186482747395,0.18634768381927572
9,1222.9833017985027,0.1851817005090825
10,1194.0384775797527,0.18486774340506767
11,1165.7857920328777,0.184037349589263
12,1138.418930053711,0.1837833633431679
13,1111.6469217936199,0.18275507274673147
14,1085.6427917480469,0.18223989066296425
15,1059.7517649332683,0.18167627704500752
16,1034.6420033772786,0.1806381392456323
17,1009.9766337076823,0.1794165835068842
18,985.6235809326172,0.17786545108758534
19,962.1307957967123,0.17684284970496356
20,939.3445841471354,0.17629899919009603
21,916.6261800130209,0.1758228895493463
22,895.2718124389648,0.1751922238372093
23,873.8126525878906,0.17478083058544486
24,852.629498799642,0.1742700541623279
25,832.0505193074545,0.17393110031239153
26,811.4161427815756,0.17345105323672336
27,792.1154403686523,0.1732993480996182
28,773.0762405395508,0.17298307156080064
29,754.7843144734701,0.1725991770797177
30,736.5331878662109,0.1724102669790582
31,718.6422373453776,0.17201100240078676
32,701.2482070922852,0.17164937123973156
33,684.4951527913412,0.17151639693972
34,668.6313069661459,0.17128491264607196
35,652.5249710083008,0.17082090817713758
36,636.5303497314453,0.1707620111651047
37,621.7403055826823,0.17048917838134908
38,607.0977325439453,0.17036466106965173
39,592.4928080240885,0.1702669356704848
40,578.7498626708984,0.16998976592329051
41,564.9929046630859,0.1698111423261599
42,551.8134180704752,0.16979865570403796
43,538.4264246622721,0.16962490780111072
44,525.5008443196615,0.16961718659608932
45,513.4607582092285,0.16953343565602222
46,500.9456418355306,0.16940006182749046
47,489.3653170267741,0.16925769770334376
48,478.0640055338542,0.16914449735334952
49,467.36161041259766,0.1692883673926877
50,456.8693911234538,0.16909809057908134
51,446.36088434855145,0.16900109553974316
52,435.75853729248047,0.16896178446430637
53,425.7777264912923,0.16884321850052064
54,415.92388916015625,0.16885372555825523
55,407.00590387980145,0.1687149499595048
56,397.22814687093097,0.168736206323036
57,388.31991958618164,0.16847223005611478
58,380.00144958496094,0.16840967943711674
59,371.42397181193036,0.16828912125419415
60,362.6337534586589,0.1682555735132477
61,353.9052378336589,0.16837565804697444
62,346.1338361104329,0.16817458492421614
63,337.9546254475911,0.1681392456323036
64,330.35471471150714,0.16805690117725328
65,322.40718841552734,0.16796654445794285
66,315.77310434977215,0.1680272547147981
67,308.5664698282878,0.16783535447761194
68,301.69494883219403,0.16783334598808283
69,295.30139541625977,0.16782471906456092
70,288.98093032836914,0.16774016364398936
71,283.36347579956055,0.1675100514867523
72,276.445515314738,0.16770947949207451
73,270.4580612182617,0.16751781246384356
74,265.3188362121582,0.16750794537486985
75,258.69364229838055,0.16733230468298044
76,253.9547259012858,0.1674593330585445
77,248.6040833791097,0.16743259718847622
78,243.3678035736084,0.16728928034247367
79,238.2472006479899,0.16737236961992363
80,233.31692441304526,0.167272209085387
81,227.9892552693685,0.16723825458463495
82,223.46422322591147,0.16703900736144858
83,218.96463521321616,0.1670700349994215
84,213.83141581217447,0.16698173015735276
85,210.36006800333658,0.16693402717517067
86,206.18056424458823,0.16676059925662387
87,201.68697039286295,0.1669643208376721
88,196.6557935078939,0.16681047524007867
89,193.48426055908203,0.16674192988545644
90,188.96127001444498,0.16678478248293416
91,185.9224770863851,0.16669286199814878
92,182.75290298461914,0.16670875817135253
93,178.46604092915854,0.16655822631030892
94,175.38574981689453,0.16664127943133172
95,172.4596462249756,0.16652470026321878
96,168.8243923187256,0.1664239051833854
97,165.8575070699056,0.16640866886497743
98,162.24595832824707,0.16639637567974083
99,159.61138916015625,0.16643244894712483
