epoch,train_objective,val_mse
0,1652.9664662679036,0.27995562521693856
1,1548.7716217041016,0.24011760239500174
2,1489.3163350423176,0.2195550047726484
3,1436.5118967692058,0.19931872975240078
4,1386.7747090657551,0.19225807011454357
5,1349.0282592773438,0.1894387112403101
6,1315.1424407958984,0.18790918951752864
7,1283.0225118001301,0.1860428200566933
8,1251.7381337483723,0.1851306223244244
9,1221.7631378173828,0.18476197139303482
10,1192.6550852457683,0.18424845250491728
11,1164.4150899251301,0.1830278223707046
12,1136.9896799723308,0.18211918062304755
13,1109.9434611002605,0.1812752245314127
14,1083.5051981608074,0.17990776856994098
15,1057.5799967447917,0.17915817532974662
16,1032.4710540771484,0.17794684101295846
17,1007.5752131144205,0.17729595301110726
18,983.278694152832,0.17665703459446952
19,959.234375,0.17601782331077173
20,936.3380126953125,0.175645231328821
21,913.8223571777344,0.1752580032251533
22,892.1675465901693,0.17465257289135716
23,870.5981318155924,0.17413402645204212
24,849.4184519449869,0.17367818610436192
25,829.0202891031901,0.17352502024759922
26,809.3910191853842,0.17323922719252574
27,790.2085673014323,0.17297088322920282
28,771.4683837890625,0.17259810323383085
29,753.3431091308594,0.17219562073354158
30,734.4969914754232,0.17193008974025223
31,716.9588724772135,0.17176275960314705
32,700.268788655599,0.17164367660245286
33,683.8012059529623,0.17126718695765358
34,667.6391728719076,0.17107822262235334
35,651.6578877766927,0.1710554729983802
36,636.4890009562174,0.1707170018367465
37,621.4177907307943,0.17068161554147865
38,607.3055140177408,0.17055647633923407
39,592.7693939208984,0.17028290777218558
40,579.003522237142,0.17009564459678353
41,565.3620020548502,0.1698646538383663
42,552.1468963623047,0.16991296605634618
43,539.0729433695475,0.16958438367754253
44,526.6621513366699,0.16960699590709244
45,514.1857376098633,0.16953041117088974
46,502.53887430826825,0.16929251272706236
47,491.1266555786133,0.1691924317366655
48,479.50407791137695,0.16918172220293878
49,468.63473383585614,0.16915585770276526
50,457.32158279418945,0.16894678497049637
51,446.68344751993817,0.16897346299028115
52,436.2668914794922,0.16892280060453546
53,426.7147903442383,0.16867850970438505
54,416.38689549763996,0.16863687015503875
55,406.76036071777344,0.16857855526148327
56,397.0567207336426,0.16847940168344325
57,388.31419626871747,0.16841231524065717
58,379.7455406188965,0.16832681975297928
59,370.37450154622394,0.168407264187782
60,362.26294072469074,0.1682810981430059
61,354.39755121866864,0.16817510376894595
62,346.2643292744954,0.16795413195649658
63,338.9956995646159,0.1679471302643758
64,330.3592109680176,0.16780653961298161
65,323.06632868448895,0.16782568082552354
66,316.4012985229492,0.1677633525685526
67,308.9295120239258,0.16767393410852713
68,302.18409474690753,0.1677201293676964
69,295.1920572916667,0.16758171352539628
70,288.38343811035156,0.1674267904662733
71,283.14778327941895,0.16744432994909175
72,276.12812487284344,0.16736722456033784
73,270.86582946777344,0.16729439466909637
74,265.04112434387207,0.16727629295383548
75,259.19078318277997,0.16726190269582322
76,252.87075996398926,0.1672077096349647
77,248.2229881286621,0.16724673688244823
78,242.44283612569174,0.16711449655790814
79,237.9420197804769,0.16705333615353465
80,232.5242659250895,0.16699933833738284
81,227.96723492940268,0.1669233628369779
82,222.99576250712076,0.1668781799577693
83,218.4153652191162,0.16682357832928382
84,214.3235969543457,0.1667754505090825
85,209.5277214050293,0.16690924917563346
86,205.59329668680826,0.16680559593023256
87,201.9205805460612,0.16676236911373366
88,197.76254590352377,0.16669242992884414
89,193.05973625183105,0.16664622382274674
90,189.04099400838217,0.16667692243723245
91,186.0705540974935,0.16652710466562537
92,182.81838607788086,0.16657077078271434
93,178.97106997172037,0.16645594520131898
94,175.1205259958903,0.16647313035115122
95,172.32347297668457,0.1665000614659262
96,169.48961035410562,0.16647384444058777
97,165.87095514933267,0.16644421605634618
98,163.9754145940145,0.16644275895233138
99,160.58531951904297,0.16641180362721278
