replicate,treated_library,rescue_library,treated_mean_distance,rescue_mean_distance,rescue_minus_treatment
replicate_1,D20-6409,D20-6410,0.10451406866666667,0.08500689,-0.019507178666666666
replicate_2,D21-2750,D21-2752,0.078156097,0.09439055666666667,0.016234459666666673
replicate_3,D21-2751,D21-2753,0.09943424333333334,0.103679142,0.004244898666666663
