mode,n_folds,mean_seen_library_validation_balanced_mse,mean_unseen_library_balanced_mse,sd_unseen_library_balanced_mse_across_folds,mean_generalization_gap,mean_unseen_over_seen_mse_ratio
full,3,0.09099438703722423,0.09401047312551074,0.004800844309510859,0.003016086088286506,1.0347723335654964
gaussian_vae,3,0.0895657812555631,0.09255043334431119,0.004790810390241049,0.002984652088748084,1.034808436333366
pca32,3,0.08422456681728363,0.08595509578784306,0.004408545877659317,0.001730528970559438,1.02231674816574
training_mean,3,0.3193914294242859,0.3267834782600403,0.012396480062003704,0.0073920488357543945,1.0244868071542725
