sign_replicate_1,sign_replicate_2,sign_replicate_3,mean_difference,absolute_ge_observed
-1,-1,-1,-0.00032405988888889,True
-1,-1,1,0.0025058725555555522,True
-1,1,-1,0.010498913222222225,True
-1,1,1,0.013328845666666667,True
1,-1,-1,-0.013328845666666667,True
1,-1,1,-0.010498913222222225,True
1,1,-1,-0.0025058725555555522,True
1,1,1,0.00032405988888889,True
