seed_a,seed_b,spearman_gene_scores,top100_jaccard,top100_overlap
0,1,0.8720096675598522,0.6528925619834711,79
0,2,0.8820252986779106,0.5037593984962406,67
1,2,0.8428864652828736,0.5503875968992248,71
