seed,drug,n_test_cells,fraction,cell_bootstrap_low,cell_bootstrap_high
0,pooled,1452,0.9205678701400757,0.7312193363904953,0.9527284055948257
0,doxorubicin,1052,0.8167026042938232,0.6889554634690285,0.8901646956801414
0,cisplatin,400,0.9588165879249573,0.849349494278431,0.9729491829872131
1,pooled,1452,0.9572950601577759,0.9201483115553856,0.972600731253624
1,doxorubicin,1052,0.9225260019302368,0.8528027325868607,0.9499788701534271
1,cisplatin,400,0.9755598306655884,0.9487411946058273,0.9841703757643699
2,pooled,1452,0.9223678708076477,0.8821386277675629,0.9549123272299767
2,doxorubicin,1052,0.8805446028709412,0.717898890376091,0.976082481443882
2,cisplatin,400,0.9415982961654663,0.9087025344371795,0.981258063018322
