seed,replicate_1_difference,replicate_2_difference,replicate_3_difference,mean_difference,exact_two_sided_p
0,-0.016116776,0.013439115000000001,0.005740956000000005,0.0010210983333333358,1.0
1,-0.01686507999999999,0.006404524000000002,-0.007019440000000002,-0.0058266653333333305,0.5
2,-0.02553968000000001,0.02885973999999998,0.014013179999999986,0.005777746666666653,0.75
