seed,test_log_expression_mse,shared_bio_condition_balanced_accuracy,shared_bio_study_balanced_accuracy,unshared_bio_condition_balanced_accuracy,unshared_bio_study_balanced_accuracy,combined_condition_balanced_accuracy,combined_study_balanced_accuracy
0,0.23096349835395813,0.5708086788158736,0.9338868880205233,0.747170615291965,0.9737002007670185,0.7556126821649323,0.9821154676760566
1,0.22937998175621033,0.5752497713930435,0.8658247715439109,0.7630986176263724,0.9814834653453,0.7636783901458206,0.9841174696780586
2,0.23366191983222961,0.5331023627005688,0.883891819339158,0.7569340503298947,0.9888849778430753,0.7631489266781436,0.9916504840060899
