seed,block,condition,dimension,n_cells,mean_kl_nats,posterior_mean_variance,active_unit_var_gt_0p01,kl_gt_0p01
0,shared,all_treated,0,1452,0.0011300169862806797,0.0015631807036697865,False,False
0,shared,all_treated,1,1452,0.001183965359814465,0.0015904686879366636,False,False
0,shared,all_treated,2,1452,0.00069466169225052,0.000942456244956702,False,False
0,shared,all_treated,3,1452,0.0003471386735327542,0.0004963641986250877,False,False
0,shared,all_treated,4,1452,0.0018041221192106605,0.0028145986143499613,False,False
0,shared,all_treated,5,1452,0.0009421454160474241,0.00046798866242170334,False,False
0,shared,all_treated,6,1452,0.003104421077296138,0.00573743786662817,False,False
0,shared,all_treated,7,1452,0.0014847398269921541,0.0017956551164388657,False,False
0,drug_specific,doxorubicin,0,1052,0.00011677859583869576,9.903570025926456e-05,False,False
0,drug_specific,doxorubicin,1,1052,1.974812948901672e-05,1.1433880899858195e-05,False,False
0,drug_specific,doxorubicin,2,1052,0.00016653788043186069,4.128905857214704e-05,False,False
0,drug_specific,doxorubicin,3,1052,0.00010510196443647146,7.76611123001203e-05,False,False
0,drug_specific,cisplatin,0,400,0.0007388049853034317,0.0009676696499809623,False,False
0,drug_specific,cisplatin,1,400,0.0005978775443509221,0.0007074482273310423,False,False
0,drug_specific,cisplatin,2,400,0.0013925917446613312,0.0003034691617358476,False,False
0,drug_specific,cisplatin,3,400,0.0003617095644585788,0.0002894641365855932,False,False
1,shared,all_treated,0,1452,0.00029533449560403824,0.0002722789940889925,False,False
1,shared,all_treated,1,1452,0.0005415665218606591,0.0006580359768122435,False,False
1,shared,all_treated,2,1452,0.002896305173635483,0.0030567613430321217,False,False
1,shared,all_treated,3,1452,0.0005239308811724186,0.0004459318588487804,False,False
1,shared,all_treated,4,1452,0.0009454385144636035,0.0016397626604884863,False,False
1,shared,all_treated,5,1452,0.0003720703243743628,0.00036933604860678315,False,False
1,shared,all_treated,6,1452,0.0017723710043355823,0.002858322113752365,False,False
1,shared,all_treated,7,1452,0.000560944783501327,0.0003145512309856713,False,False
1,drug_specific,doxorubicin,0,1052,6.226415280252695e-05,1.0670915798982605e-05,False,False
1,drug_specific,doxorubicin,1,1052,0.0003862958983518183,3.7588590203085914e-05,False,False
1,drug_specific,doxorubicin,2,1052,6.762103294022381e-05,1.2595644875545986e-05,False,False
1,drug_specific,doxorubicin,3,1052,7.478066254407167e-05,3.4868029615608975e-05,False,False
1,drug_specific,cisplatin,0,400,0.0005675714928656816,0.0003298854862805456,False,False
1,drug_specific,cisplatin,1,400,0.00039442296838387847,0.00015610783884767443,False,False
1,drug_specific,cisplatin,2,400,0.00014167040353640914,0.00010680677951313555,False,False
1,drug_specific,cisplatin,3,400,0.0002604849578347057,0.00019933620933443308,False,False
2,shared,all_treated,0,1452,0.00451978063210845,0.007953098975121975,False,False
2,shared,all_treated,1,1452,0.0005550928181037307,0.0005484366556629539,False,False
2,shared,all_treated,2,1452,0.0036364563275128603,0.0062072789296507835,False,False
2,shared,all_treated,3,1452,0.0018336757784709334,0.002509962534531951,False,False
2,shared,all_treated,4,1452,0.0014130850322544575,0.00176919624209404,False,False
2,shared,all_treated,5,1452,0.0003970356483478099,0.0005521468701772392,False,False
2,shared,all_treated,6,1452,0.0007048939005471766,0.000796426844317466,False,False
2,shared,all_treated,7,1452,0.008793268352746964,0.01641434244811535,True,False
2,drug_specific,doxorubicin,0,1052,0.0003263767866883427,6.341571861412376e-05,False,False
2,drug_specific,doxorubicin,1,1052,0.0002327113616047427,8.262989285867661e-05,False,False
2,drug_specific,doxorubicin,2,1052,0.00017007585847750306,6.147523527033627e-05,False,False
2,drug_specific,doxorubicin,3,1052,0.00044271614751778543,0.0003153251891490072,False,False
2,drug_specific,cisplatin,0,400,0.003305311780422926,0.00419961242005229,False,False
2,drug_specific,cisplatin,1,400,0.0009948851075023413,9.509172377875075e-05,False,False
2,drug_specific,cisplatin,2,400,0.0020212701056152582,0.002925529843196273,False,False
2,drug_specific,cisplatin,3,400,0.00045709568075835705,0.00033840644755400717,False,False
