axis,list_type,rank,gene,top50_seed_support,across_seed_mean_abs_ig
shared,top50_in_at_least_2_seeds,33,Ccl4,2,0.0020355132
shared,top50_in_at_least_2_seeds,34,Tnfsf12,2,0.00202402649
shared,top50_in_at_least_2_seeds,35,C1qa,2,0.0019244610833333332
shared,top50_in_at_least_2_seeds,36,Cflar,2,0.0019104714300000002
shared,top50_in_at_least_2_seeds,37,Nrgn,2,0.0017884893200000001
shared,top50_in_at_least_2_seeds,38,Ctss,2,0.0017850488066666666
shared,top50_in_at_least_2_seeds,39,Ly6e,2,0.00156220451
shared,top50_in_at_least_2_seeds,40,Mylip,2,0.0014707114033333333
shared,top50_in_at_least_2_seeds,41,C1qc,2,0.0014145832766666666
shared,top50_in_at_least_2_seeds,42,Ahnak,2,0.0011389994166666666
shared,top50_in_all_3_seeds,1,Mrc1,3,0.016928866843333334
shared,top50_in_all_3_seeds,2,Pf4,3,0.016287880566666666
shared,top50_in_all_3_seeds,3,Cbr2,3,0.012778730179999998
shared,top50_in_all_3_seeds,4,F13a1,3,0.010827678583333333
shared,top50_in_all_3_seeds,5,mt-Co3,3,0.0069845118999999995
shared,top50_in_all_3_seeds,6,mt-Nd4,3,0.0060312658666666664
shared,top50_in_all_3_seeds,7,Cd52,3,0.005971923446666666
shared,top50_in_all_3_seeds,8,Apoe,3,0.005710761686666666
shared,top50_in_all_3_seeds,9,Ttr,3,0.0054393499
shared,top50_in_all_3_seeds,10,Ifi27l2a,3,0.0035441042
shared,top50_in_all_3_seeds,11,Bst2,3,0.0030660159
shared,top50_in_all_3_seeds,12,Psmb8,3,0.0030615927333333334
shared,top50_in_all_3_seeds,13,Lgals1,3,0.002861180266666667
shared,top50_in_all_3_seeds,14,Junb,3,0.0027006687
shared,top50_in_all_3_seeds,15,Cxcl12,3,0.002608686146666667
drug0,consensus_mean_top50,1,Snhg11,3,0.00014832593333333332
drug0,consensus_mean_top50,2,Kcnq1ot1,3,9.802628733333333e-05
drug0,consensus_mean_top50,3,Meg3,3,7.479928233333333e-05
drug0,consensus_mean_top50,4,Ttr,3,6.6456485e-05
drug0,consensus_mean_top50,5,Gria2,3,6.5539023e-05
drug0,consensus_mean_top50,6,Brd9,3,5.153083833333333e-05
drug0,consensus_mean_top50,7,Atp1b1,2,5.065354833333333e-05
drug0,consensus_mean_top50,8,Rtn1,3,4.6696330666666664e-05
drug0,consensus_mean_top50,9,Ptgds,2,4.4820231666666666e-05
drug0,consensus_mean_top50,10,Syt7,1,4.478462856666667e-05
drug0,consensus_mean_top50,11,Syt1,2,4.398193366666667e-05
drug0,consensus_mean_top50,12,Grin2b,2,4.2489909666666665e-05
drug0,consensus_mean_top50,13,Atp2b1,2,4.0392159e-05
drug0,consensus_mean_top50,14,Rian,2,3.832437466666667e-05
drug0,consensus_mean_top50,15,Apoe,2,3.662632333333333e-05
drug0,consensus_mean_top50,16,C1ql3,3,3.6250923666666665e-05
drug0,consensus_mean_top50,17,Lsamp,1,3.5130568333333334e-05
drug0,consensus_mean_top50,18,Pcsk2,3,3.504115066666667e-05
drug0,consensus_mean_top50,19,Opcml,2,3.436106843333333e-05
drug0,consensus_mean_top50,20,Pcdh9,2,3.4304070999999996e-05
drug0,consensus_mean_top50,21,Nrcam,3,3.4167984000000005e-05
drug0,consensus_mean_top50,22,Dclk1,2,3.3490536333333336e-05
drug0,consensus_mean_top50,23,Zeb2,3,3.337433466666667e-05
drug0,consensus_mean_top50,24,Plppr4,3,3.323946966666667e-05
drug0,consensus_mean_top50,25,Nrxn1,2,3.3020796e-05
drug0,consensus_mean_top50,26,Peg3,2,3.2820217e-05
drug0,consensus_mean_top50,27,Pex5l,1,3.1195067333333335e-05
drug0,consensus_mean_top50,28,Grin2a,2,3.0452388666666663e-05
drug0,consensus_mean_top50,29,Cttnbp2,2,2.965830183333333e-05
drug0,consensus_mean_top50,30,Chn1,1,2.9209396999999997e-05
drug0,consensus_mean_top50,31,Sptbn1,2,2.9114611333333337e-05
drug0,consensus_mean_top50,32,Slc17a7,1,2.8804964666666664e-05
drug0,consensus_mean_top50,33,Dpp6,2,2.850961766666667e-05
drug0,consensus_mean_top50,34,Ptprd,3,2.8505149e-05
drug0,consensus_mean_top50,35,R3hdm1,1,2.8316104333333332e-05
drug0,consensus_mean_top50,36,Ntng1,1,2.824148616666667e-05
drug0,consensus_mean_top50,37,Mir100hg,1,2.7969552666666666e-05
drug0,consensus_mean_top50,38,Ly6h,1,2.7595225e-05
drug0,consensus_mean_top50,39,Zbtb20,2,2.7351242999999998e-05
drug0,consensus_mean_top50,40,Nrxn3,1,2.7213225666666667e-05
drug0,consensus_mean_top50,41,Clu,1,2.5943921066666668e-05
drug0,consensus_mean_top50,42,Nfib,2,2.5674785000000003e-05
drug0,consensus_mean_top50,43,Ppfia2,1,2.5670167333333333e-05
drug0,consensus_mean_top50,44,Ndrg4,1,2.5550292500000005e-05
drug0,consensus_mean_top50,45,Plp1,1,2.4138533666666666e-05
drug0,consensus_mean_top50,46,Miat,2,2.4012916e-05
drug0,consensus_mean_top50,47,Erc2,1,2.3871138466666666e-05
drug0,consensus_mean_top50,48,Neat1,1,2.3336928666666663e-05
drug0,consensus_mean_top50,49,Rnf112,1,2.3203787666666664e-05
drug0,consensus_mean_top50,50,Mag,2,2.2980233e-05
drug0,top50_in_at_least_2_seeds,1,Snhg11,3,0.00014832593333333332
drug0,top50_in_at_least_2_seeds,2,Kcnq1ot1,3,9.802628733333333e-05
drug0,top50_in_at_least_2_seeds,3,Meg3,3,7.479928233333333e-05
drug0,top50_in_at_least_2_seeds,4,Ttr,3,6.6456485e-05
drug0,top50_in_at_least_2_seeds,5,Gria2,3,6.5539023e-05
drug0,top50_in_at_least_2_seeds,6,Brd9,3,5.153083833333333e-05
drug0,top50_in_at_least_2_seeds,7,Rtn1,3,4.6696330666666664e-05
drug0,top50_in_at_least_2_seeds,8,C1ql3,3,3.6250923666666665e-05
drug0,top50_in_at_least_2_seeds,9,Pcsk2,3,3.504115066666667e-05
drug0,top50_in_at_least_2_seeds,10,Nrcam,3,3.4167984000000005e-05
drug0,top50_in_at_least_2_seeds,11,Zeb2,3,3.337433466666667e-05
drug0,top50_in_at_least_2_seeds,12,Plppr4,3,3.323946966666667e-05
drug0,top50_in_at_least_2_seeds,13,Ptprd,3,2.8505149e-05
drug0,top50_in_at_least_2_seeds,14,Atp1b1,2,5.065354833333333e-05
drug0,top50_in_at_least_2_seeds,15,Ptgds,2,4.4820231666666666e-05
