seed,space_a,space_b,linear_cka,null_mean,cell_permutation_p
0,bg,shared,0.024453606456518173,0.0026687284803483635,0.009900990099009901
0,bg,drug,0.07248102128505707,0.02641839386895299,0.009900990099009901
0,shared,drug,0.24715547263622284,0.006773068914189935,0.009900990099009901
1,bg,shared,0.02333696000277996,0.0025917119486257435,0.009900990099009901
1,bg,drug,0.13532754778862,0.018361407946795225,0.009900990099009901
1,shared,drug,0.12900389730930328,0.008090731557458639,0.009900990099009901
2,bg,shared,0.011550327762961388,0.0029719761246815323,0.009900990099009901
2,bg,drug,0.02035694755613804,0.009536876054480671,0.009900990099009901
2,shared,drug,0.2804766893386841,0.007022527793888003,0.009900990099009901
