cell_type,contrast,n_genes_described,reference_library,tested_library,inferential_test_performed,reason
unannotated,doxorubicin_vs_control,16668,GSM8367861,GSM8367862,False,one_pooled_library_per_arm
unannotated,doxorubicin_ACY1083_vs_doxorubicin,17867,GSM8367862,GSM8367863,False,one_pooled_library_per_arm
