study,contrast,mean_difference,n_rescue_libraries,n_treated_libraries,batch_stratified_permutation_p,n_label_permutations,reference_design,exact_two_sided_p,n_sign_assignments,minimum_attainable_two_sided_p,minimum_attainable_one_sided_p
GSE216146,cisplatin_GENUS_vs_cisplatin,0.00032405988888889,3,3,1.0,8,paired_GEO_replicate_sign_flip,1.0,8,0.25,0.125
GSE271055,doxorubicin_ACY1083_vs_doxorubicin,0.005912920000000002,1,1,,,descriptive_one_pooled_library_per_arm,,,,
