study,sample_id,arm,source_cell_type,n_cells
GSE216146,D21-2752,cisplatin_GENUS,Neuron,8
GSE216146,D21-2752,cisplatin_GENUS,OPC,21
GSE216146,D21-2752,cisplatin_GENUS,Oligodendrocyte,193
GSE216146,D21-2752,cisplatin_GENUS,Pericyte,30
GSE216146,D21-2752,cisplatin_GENUS,Progenitor,1
GSE216146,D21-2753,cisplatin_GENUS,Astrocyte,92
GSE216146,D21-2753,cisplatin_GENUS,Choroid Plexus,180
GSE216146,D21-2753,cisplatin_GENUS,Endothelial,107
GSE216146,D21-2753,cisplatin_GENUS,Ependymal,9
GSE216146,D21-2753,cisplatin_GENUS,Fibroblast,5
GSE216146,D21-2753,cisplatin_GENUS,Immune,36
GSE216146,D21-2753,cisplatin_GENUS,Microglia,214
GSE216146,D21-2753,cisplatin_GENUS,Neuron,11
GSE216146,D21-2753,cisplatin_GENUS,OPC,33
GSE216146,D21-2753,cisplatin_GENUS,Oligodendrocyte,219
GSE216146,D21-2753,cisplatin_GENUS,Pericyte,35
GSE216146,D21-2753,cisplatin_GENUS,Progenitor,4
GSE271055,GSM8367861,control,unannotated,9455
GSE271055,GSM8367862,doxorubicin,unannotated,10518
GSE271055,GSM8367863,doxorubicin_ACY1083,unannotated,11919
