seed,scope,n_assignments,observed_shared_fraction,upper_tail_count,exact_upper_tail_p,reference_min,reference_median,reference_max
0,combined_24,24,0.6213995814323425,20,0.8333333333333334,0.20509116351604462,0.9349679052829742,0.9942834377288818
0,cis_only_dox_fixed,12,0.6213995814323425,8,0.6666666666666666,0.20509116351604462,0.7934494018554688,0.9814234375953674
0,dox_only_cis_fixed,2,0.6213995814323425,2,1.0,0.6213995814323425,0.8047106564044952,0.988021731376648
1,combined_24,24,0.9695421457290649,4,0.16666666666666666,0.11592958867549896,0.9353788793087006,0.98743736743927
1,cis_only_dox_fixed,12,0.9695421457290649,1,0.08333333333333333,0.14145618677139282,0.9141654670238495,0.9695421457290649
1,dox_only_cis_fixed,2,0.9695421457290649,1,0.5,0.7069534659385681,0.8382478058338165,0.9695421457290649
2,combined_24,24,0.7377244234085083,15,0.625,0.10427276045084,0.8143218457698822,0.9860759377479553
2,cis_only_dox_fixed,12,0.7377244234085083,8,0.6666666666666666,0.16171376407146454,0.7972963154315948,0.9756394028663635
2,dox_only_cis_fixed,2,0.7377244234085083,2,1.0,0.7377244234085083,0.8395387530326843,0.9413530826568604
