gene
Sox17
St18
Vxn
Prex2
Eya1
Jph1
Col19a1
Ptpn18
Ecrg4
Col5a2
Slc40a1
Dnah7b
Slc39a10
Tmeff2
Gm28322
Cavin2
Dnah7a
Aox3
Cdk15
Gm973
2810408I11Rik
Erbb4
Gm29113
Vwc2l
Fn1
Igfbp2
Igfbp5
Tns1
Catip
Vil1
Cfap65
Acsl3
Utp14b
Scg2
Dock10
Nyap2
Gm9747
Col4a4
Sphkap
Gpr55
Ecel1
Kcnj13
Sag
Iqca
Col6a3
Ramp1
Gpr35
Crocc2
Sned1
Neu4
St8sia4
Slco4c1
B230216N24Rik
Gm7967
Rnf152
9330185C12Rik
Cntnap5a
Tfcp2l1
C1ql2
Htr5b
R3hdm1
Cxcr4
Atp2b4
Prelp
Gpr37l1
Kif14
Platr22
Ptprc
Crb1
Cfh
Rgs2
Rgs1
Brinp3
Ptgs2
Prg4
Hmcn1
Glul
A830008E24Rik
Cacna1e
Mr1
Brinp2
Tnr
Prdx6
Myoc
Fmo2
F5
Atp1b1
Sft2d2
Ildr2
Nuf2
Rgs5
Rgs4
Gm26620
Cfap126
Pcp4l1
Arhgap30
Atp1a2
Ifi207
Ifi204
Mndal
Ifi203
Gm37306
1700047M11Rik
C130074G19Rik
Tgfb2
Cenpf
Prox1
Atf3
A130010J15Rik
Hsd11b1
G0s2
Cd34
Meig1
Ucma
Ccdc3
Itih5
C1ql3
Vim
Mrc1
Slc39a12
Gm10848
Etl4
Enkur
Gad2
Tubb4b
Grin1
Ptgds
Fcna
Kcnt1
Ccdc187
Egfl7
Col5a1
Olfm1
Gm10134
Ier5l
Dnm1
Eng
Ttc16
Hc
Gsn
Lhx6
Lhx2
Gm13589
Lrp1b
Lypd6b
Nr4a2
BB557941
Gm33594
Ermn
Tanc1
Slc4a10
Scn7a
Stk39
Nostrin
Spc25
Gad1
Dcaf17
Dlx1
Dlx2
Sp9
Chn1
2600014E21Rik
Pde11a
Ttn
Ccdc141
Neurod1
Calcrl
C1qtnf4
Mdk
Dgkz
Alx4
Gm13889
Mir670hg
Fjx1
Slc1a2
Cd44
Pax6
Ryr3
Meis2
Thbs1
Knl1
Nusap1
Strc
Gatm
Shc4
Atp8b4
Hdc
Dusp2
Kcnip3
Mal
Bcl2l11
Mertk
Il1a
Il1b
Avp
Adam33
Gpcpd1
Chgb
Bmp2
Lamp5
Snap25
Pcsk2
Insm1
Thbd
Cd93
Cst7
Id1
Cox4i2
Tpx2
Pxmp4
Myl9
Nnat
Lbp
Snhg11
Gm14204
Mafb
Ptprt
Matn4
Sdc4
Dbndd2
Wfdc2
Ube2c
Pltp
Slc13a3
Eya2
Cebpb
Tshz2
Zfp217
Bcas1
Spo11
Pmepa1
Gm10714
Edn3
Hrh3
Lama5
B230312C02Rik
Col9a3
Nkain4
Stmn3
Sox18
Stmn2
Cp
Tmem212
Mecom
4933429H19Rik
Cldn11
Slc7a14
Pex5l
Gm42695
Ccna2
Plk4
Pcdh10
Slc7a11
Rab33b
Stoml3
Trpc4
Postn
Dclk1
Tm4sf1
Ankub1
4921539H07Rik
P2ry14
P2ry12
Gpr149
Tiparp
Mlf1
Fstl5
Rxfp1
Gria2
Fcrls
Nes
Bcan
Hapln2
AW047730
Gm3764
Pbxip1
1700094D03Rik
S100a6
S100a11
S100a10
Riiad1
Ctss
Car14
Spag17
Nhlh2
Casq2
Tspan2os
Tspan2
Gm43066
Olfml3
Slc16a1
Pifo
Kcna3
Csf1
Gstm1
Ntng1
Col11a1
Vcam1
Agl
Palmd
Plppr4
Plppr5
F3
Arhgap29
Gm17494
Fnbp1l
Pde5a
Ndst3
Ndst4
Camk2d
Neurog2
Mcub
Col25a1
Etnppl
Lef1
Cenpe
Ppp3ca
Emcn
Gm43689
Dapp1
1110002E22Rik
Unc5c
Gbp3
Col24a1
Ccn1
Ddah1
Wdr63
Adgrl2
Gm30382
Adgrl4
Ak5
St6galnac5
4930592C13Rik
Wls
Penk
Gem
1700123M08Rik
Slc26a7
Calb1
Epha7
Cnr1
1110017D15Rik
Car9
Igfbpl1
Ccdc180
Col15a1
Nr4a3
Grin3a
Klf4
Frrs1l
Pakap-1
Pappa
Brinp1
A230083N12Rik
Ptprd
Frem1
Adamtsl1
Focad
Gm13274
Elavl2
Tek
Raver2
Tctex1d1
Wdr78
Plpp3
Echdc2
Shisal2a
Gm12840
Artn
Tie1
Slc2a1
Mfsd2a
Hpcal4
Ndufs5
Epha10
Cdca8
Dnali1
Csf3r
Ncdn
Gja4
Col16a1
Tinagl1
Fabp3
Sdc3
Ptpru
Hmgn2
Cd52
Grrp1
Clic4
Id3
C1qc
Pla2g5
Nbl1
Srarp
Fblim1
Slc25a34
Fhad1
Tmem51
6330411D24Rik
Tnfrsf1b
Nppa
Megf6
Hes5
Plch2
Tmem52
Vwa1
Isg15
Cfap69
Steap2
Abcb1a
Hgf
Sema3c
Cd36
Ccdc146
Reln
Lhfpl3
Klhl7
Slc4a2
Wdr86
Crygn
Dpp6
1700001C02Rik
Cenpa
Dpysl5
Emilin1
Slc30a3
Fgfr3
Rgs12
Msx1
Nsg1
Gm42555
Cd38
Fgfbp1
Prom1
Ncapg
Slit2
Kcnip4
Sod3
Pcdh7
Arap2
Dthd1
Nwd2
Tbc1d1
Rbm47
Uchl1
Gabrb1
Ociad2
Pdgfra
Kit
Kdr
Hopx
Igfbp7
Epha5
Stap1
Slc4a4
Pf4
Art3
Cxcl10
Fras1
Cfap299
Prkg2
4930458D05Rik
Sparcl1
Spp1
Gbp4
Gm42518
Gm43137
Miat
Cryba4
Crybb1
Sez6l
Trpv4
Oasl2
Cit
Tbx3
Sdsl
Cux2
P2rx4
Wdr66
Dnah10
Tmem132c
Phkg1
Mlxipl
Hspb1
Serpine1
Pcolce
Gm36266
Gjc3
Gper1
Mmd2
BC030343
Flt1
Slc7a1
B3glct
Kl
Gm20559
Col1a2
Dlx6os1
Tac1
Nxph1
Foxp2
Cav1
Gm20186
Cped1
Ptprz1
Cadps2
Ahcyl2
Strip2
Podxl
Cald1
Slc13a4
Arhgef5
Rarres2
Gpnmb
Npy
Osbpl3
Gm44109
Creb5
Tril
Gm16499-1
Chn2
9530036M11Rik
Crhr2
Aqp1
Neurod6
Abcg2
A530053G22Rik
Snca
Ndnf
4930597O21Rik
Tmsb10
Dnah6
Hk2
Slc4a5
Exoc6b
Sfxn5
Gkn3
Efcc1
Gata2
Fbln2
Slc6a6
Fgd5
Adamts9
Tafa1
Cntn3
Chl1
Cntn4
Lmcd1
Cpne9
Ttll3
Slc6a11
Slc6a1
Timp4
Rassf4
Tmem72
Cxcl12
Cacna2d4
Slc25a18
Slc6a13
Clec4a1
Cd163
C1rl
Lrrc23
Cdca3
Lag3
Gm28809
Vwf
Gm45869
Rad51ap1
Ccnd2
Clec2d
Clec12a
Lockd
Apold1
Grin2b
Mgp
Pde3a
Slco1c1
Slco1a4
Kcnj8
Abcc9
Sox5
Itpr2
Ppfibp1
Rep15
Gm44257
Ttyh1
Cox6b2
Peg3
Usp29
C5ar2
C5ar1
Gm45509
Npas1
Pglyrp1
Fosb
Apoc1
Apoe
Bcam
Atp1a3
Tmem91
Mia
Ltbp4
Spint2
Nfkbid
Upk1a
Dmkn
Mag
Lsr
Fxyd5
Fxyd1
Cebpa
Slc7a10
Zfp536
Cd33
Klk6
1700008O03Rik
Rras
Rcn3
Fcgrt
Slc17a7
Ppp1r15a
Rasip1
