seed_a,seed_b,space,test_cka
0,1,bg,0.5578128099441528
0,1,shared,0.08184853941202164
0,1,drug,0.38915112614631653
0,2,bg,0.630603015422821
0,2,shared,0.35861000418663025
0,2,drug,0.11458150297403336
1,2,bg,0.7084358930587769
1,2,shared,0.5247288942337036
1,2,drug,0.21753332018852234
