metric,mean,sd_across_seeds,min,max,n_seeds
test_log_expression_mse,0.2313351333141327,0.0021650249027283493,0.22937998175621033,0.23366191983222961,3
shared_bio_condition_balanced_accuracy,0.5597202709698287,0.023158488860303406,0.5331023627005688,0.5752497713930435,3
shared_bio_study_balanced_accuracy,0.894534492967864,0.03525709575807906,0.8658247715439109,0.9338868880205233,3
unshared_bio_condition_balanced_accuracy,0.7557344277494108,0.008031477780765323,0.747170615291965,0.7630986176263724,3
unshared_bio_study_balanced_accuracy,0.9813562146517979,0.007593188280731136,0.9737002007670185,0.9888849778430753,3
combined_condition_balanced_accuracy,0.7608133329962988,0.004511669280127524,0.7556126821649323,0.7636783901458206,3
combined_study_balanced_accuracy,0.9859611404534018,0.005027770435231813,0.9821154676760566,0.9916504840060899,3
