seed,n_treated_test,n_doxorubicin_test,n_cisplatin_test,shared_fraction_recomputed,shared_fraction_metrics_json,doxorubicin_shared_fraction,cisplatin_shared_fraction,shared_active_units_var_gt_0p01,shared_total_dims,dox_active_units_var_gt_0p01,dox_total_dims,cis_active_units_var_gt_0p01,cis_total_dims,drug_active_units_var_gt_0p01_total,drug_total_dims,shared_dims_kl_gt_0p01,dox_dims_kl_gt_0p01,cis_dims_kl_gt_0p01,shared_mean_total_kl_nats,dox_mean_total_kl_nats,cis_mean_total_kl_nats,objective_matched_shared_kl_ratio,observation_weighted_shared_kl_ratio,runner_replicate
0,1452,1052,400,0.7495630383491516,0.7495630383491516,0.8930724263191223,0.7454961538314819,0,8,0,4,1,4,1,8,0,0,0,0.01051937136799097,0.0004241535789333284,0.010242663323879242,0.49652024392172533,0.7707431115972594,1
1,1452,1052,400,0.9744392037391663,0.9744392037391663,0.9564504623413086,0.9849621653556824,0,8,0,4,0,4,0,8,0,0,0,0.019753459841012955,0.000533478450961411,0.0022558693308383226,0.8762644020003528,0.9514500439940576,1
2,1452,1052,400,0.9402263760566711,0.9402263760566711,0.9733537435531616,0.9525675177574158,0,8,0,4,0,4,0,8,0,0,0,0.016166439279913902,0.0005471196491271257,0.0029778610914945602,0.8209890024718588,0.9300044473590182,1
0,1452,1052,400,0.7495630383491516,0.7495630383491516,0.8930724263191223,0.7454961538314819,0,8,0,4,1,4,1,8,0,0,0,0.01051937136799097,0.0004241535789333284,0.010242663323879242,0.49652024392172533,0.7707431115972594,2
1,1452,1052,400,0.9744392037391663,0.9744392037391663,0.9564504623413086,0.9849621653556824,0,8,0,4,0,4,0,8,0,0,0,0.019753459841012955,0.000533478450961411,0.0022558693308383226,0.8762644020003528,0.9514500439940576,2
2,1452,1052,400,0.9402263760566711,0.9402263760566711,0.9733537435531616,0.9525675177574158,0,8,0,4,0,4,0,8,0,0,0,0.016166439279913902,0.0005471196491271257,0.0029778610914945602,0.8209890024718588,0.9300044473590182,2
0,1452,1052,400,0.9812900424003601,0.9812900424003601,0.9535988569259644,0.9919829964637756,1,8,0,4,0,4,0,8,1,0,0,0.018468627706170082,0.00033349613659083843,0.001573789631947875,0.9063950791258466,0.9647314172024707,3
1,1452,1052,400,0.9081621766090393,0.9081621766090393,0.8193501830101013,0.9595575332641602,0,8,0,4,0,4,0,8,0,0,0,0.0053864894434809685,0.0005429242737591267,0.002312839264050126,0.6535214892952462,0.8394101159192358,3
2,1452,1052,400,0.8952966928482056,0.8952966928482056,0.9050324559211731,0.9028181433677673,0,8,0,4,0,4,0,8,0,0,0,0.013577427715063095,0.0006749784806743264,0.006365322042256594,0.6585317042855784,0.8582447959904597,3
