comparison,axis,baseline,target,a,b,spearman,top50_jaccard
cell_bootstrap,shared,zero,norm_squared,0,18,0.896752308650434,0.6949152542372882
cell_bootstrap,shared,zero,norm_squared,0,19,0.9354816450148922,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,20,0.9316551061762927,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,21,0.9264211916021804,0.35135135135135137
cell_bootstrap,shared,zero,norm_squared,0,22,0.9545243611530011,0.7543859649122807
cell_bootstrap,shared,zero,norm_squared,0,23,0.9484399469401706,0.7241379310344828
cell_bootstrap,shared,zero,norm_squared,0,24,0.9493987283413612,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,25,0.9330649877279472,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,26,0.9233750324223726,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,27,0.8964566688132692,0.47058823529411764
cell_bootstrap,shared,zero,norm_squared,0,28,0.9080332681615289,0.5625
cell_bootstrap,shared,zero,norm_squared,0,29,0.8960732907913412,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,30,0.9061069181302891,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,31,0.9173171882548068,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,32,0.9275639474684971,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,33,0.9222411879845038,0.5625
cell_bootstrap,shared,zero,norm_squared,0,34,0.9293784412083769,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,35,0.9571639749466967,0.639344262295082
cell_bootstrap,shared,zero,norm_squared,0,36,0.9553595539307329,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,37,0.9391705419965812,0.5873015873015873
cell_bootstrap,shared,zero,norm_squared,0,38,0.9236713384195842,0.6129032258064516
cell_bootstrap,shared,zero,norm_squared,0,39,0.9199574663681818,0.6949152542372882
cell_bootstrap,shared,zero,norm_squared,0,40,0.9593582186246719,0.6666666666666666
cell_bootstrap,shared,zero,norm_squared,0,41,0.9800497385862817,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,42,0.9257278980421748,0.4925373134328358
cell_bootstrap,shared,zero,norm_squared,0,43,0.9558694085150727,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,44,0.9823753763834772,0.7857142857142857
cell_bootstrap,shared,zero,norm_squared,0,45,0.9592695656031821,0.5384615384615384
cell_bootstrap,shared,zero,norm_squared,0,46,0.930141399434107,0.6129032258064516
