axis,library,term,overlap,set_size_in_universe,list_size,universe_size,fold_enrichment,p_value,genes,q_value
shared,Reactome,REACTOME_HEMOSTASIS,2,76,50,1500,0.7894736842105263,0.7325908753187785,F13a1|Pf4,1.0
shared,Reactome,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,0,12,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_IMMUNE_SYSTEM,18,127,50,1500,4.251968503937007,2.7566352759325117e-08,Bst2|C1qa|C1qc|C5ar1|Csf2rb2|Ctsd|Ctss|Ifitm3|Lyz2|Mrc1|Mylip|Pik3ap1|Psmb8|Ptprc|Siglech|Tnfsf12|Ttr|Tyrobp,3.1425642145630637e-06
shared,Reactome,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,3,15,50,1500,6.0,0.011956460152065383,Ifitm3|Siglech|Tyrobp,0.17037955716693173
shared,Reactome,REACTOME_INNATE_IMMUNE_SYSTEM,10,71,50,1500,4.225352112676056,6.693682960473977e-05,Bst2|C1qa|C1qc|C5ar1|Ctsd|Ctss|Lyz2|Ptprc|Ttr|Tyrobp,0.0025435995249801116
shared,Reactome,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0,30,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_INTERFERON_SIGNALING,0,14,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,1,20,50,1500,1.5,0.49461650530034706,Pik3ap1,1.0
shared,Reactome,REACTOME_ION_CHANNEL_TRANSPORT,0,29,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_ION_HOMEOSTASIS,0,17,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,0,19,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_L1CAM_INTERACTIONS,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,1,27,50,1500,1.1111111111111112,0.60287685419108,Csf2rb2,1.0
shared,Reactome,REACTOME_METABOLISM,6,99,50,1500,1.8181818181818183,0.10647675713075583,Apoe|Sat1|Ttr|mt-Co2|mt-Co3|mt-Nd4,0.5517431960411894
shared,Reactome,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1,13,50,1500,2.3076923076923075,0.3575867388571701,Sat1,1.0
shared,Reactome,REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,0,23,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_METABOLISM_OF_LIPIDS,0,29,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_METABOLISM_OF_PROTEINS,7,93,50,1500,2.258064516129032,0.031222500788051055,Apoe|Cd52|Ctsd|Cul4b|Lgals1|Ly6e|Psmb8,0.29661375748648505
shared,Reactome,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,2,10,50,1500,6.0,0.04131092728840577,Apoe|Ttr,0.3622650546829429
shared,Reactome,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,2,16,50,1500,3.75,0.0970847228115921,Ctsd|Ctss,0.5270313524057857
shared,Reactome,REACTOME_MITOTIC_G2_G2_M_PHASES,0,15,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_MITOTIC_PROMETAPHASE,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_MUSCLE_CONTRACTION,0,35,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_M_PHASE,0,12,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NCAM1_INTERACTIONS,0,12,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0,13,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,1,14,50,1500,2.142857142857143,0.3791877227557184,Pik3ap1,1.0
shared,Reactome,REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,3,38,50,1500,2.368421052631579,0.1301690111571574,Cxcl12|Ptprc|Tyrobp,0.6183028029964976
shared,Reactome,REACTOME_NEUREXINS_AND_NEUROLIGINS,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NEURONAL_SYSTEM,0,58,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0,19,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,13,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_NEUTROPHIL_DEGRANULATION,8,47,50,1500,5.1063829787234045,0.0001002315088984915,Bst2|C5ar1|Ctsd|Ctss|Lyz2|Ptprc|Ttr|Tyrobp,0.002856598003607008
shared,Reactome,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0,16,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_O_LINKED_GLYCOSYLATION,0,13,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,4,27,50,1500,4.444444444444445,0.010886994050722444,C5ar1|Ccl4|Cxcl12|Pf4,0.17037955716693173
shared,Reactome,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2,32,50,1500,1.875,0.2892565406012864,F13a1|Pf4,1.0
shared,Reactome,REACTOME_PLATELET_HOMEOSTASIS,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,2,11,50,1500,5.454545454545455,0.04943234891824236,Cd52|Ly6e,0.3678268695611416
shared,Reactome,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,6,82,50,1500,2.1951219512195124,0.05111496319066162,Apoe|Cd52|Cul4b|Lgals1|Ly6e|Psmb8,0.3678268695611416
shared,Reactome,REACTOME_PROGRAMMED_CELL_DEATH,1,12,50,1500,2.5,0.33524969917904673,Cflar,1.0
shared,Reactome,REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0,18,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_RAC1_GTPASE_CYCLE,0,22,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_RAC2_GTPASE_CYCLE,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_RAC3_GTPASE_CYCLE,0,13,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,2,24,50,1500,2.5,0.18923912647371055,Apoe|Lgals1,0.8253507983029863
shared,Reactome,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,2,24,50,1500,2.5,0.18923912647371055,F13a1|Pf4,0.8253507983029863
shared,Reactome,REACTOME_RHOA_GTPASE_CYCLE,0,20,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_RHOB_GTPASE_CYCLE,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_RHO_GTPASE_CYCLE,0,41,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_RHO_GTPASE_EFFECTORS,0,19,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_SENSORY_PERCEPTION,2,12,50,1500,5.0,0.05807792677281182,Apoe|Ttr,0.3678268695611416
shared,Reactome,REACTOME_SIGNALING_BY_GPCR,4,76,50,1500,1.5789473684210527,0.24491191778864405,C5ar1|Ccl4|Cxcl12|Pf4,0.9971413795680508
shared,Reactome,REACTOME_SIGNALING_BY_INTERLEUKINS,1,18,50,1500,1.6666666666666667,0.45869546617711976,Csf2rb2,1.0
shared,Reactome,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_SIGNALING_BY_PDGF,0,16,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1,48,50,1500,0.625,0.8086739419485636,Ctsd,1.0
shared,Reactome,REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0,54,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_SIGNALING_BY_VEGF,0,12,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_SIGNALING_BY_WNT,0,11,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,1,39,50,1500,0.7692307692307692,0.7380227031427208,Slc6a6,1.0
shared,Reactome,REACTOME_STIMULI_SENSING_CHANNELS,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE,0,10,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,1,12,50,1500,2.5,0.33524969917904673,Ctss,1.0
shared,Reactome,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,2,14,50,1500,4.285714285714286,0.07677394817604072,mt-Co2|mt-Co3,0.4606436890562443
shared,Reactome,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0,36,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,1,15,50,1500,2.0,0.4000764265660914,Slc6a6,1.0
shared,Reactome,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,1,22,50,1500,1.3636363636363638,0.5281983764075895,Slc6a6,1.0
shared,Reactome,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,3,91,50,1500,0.989010989010989,0.5951838582453176,Apoe|Mylip|Slc6a6,1.0
shared,Reactome,REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,0,12,50,1500,0.0,1.0,,1.0
shared,Reactome,REACTOME_VESICLE_MEDIATED_TRANSPORT,4,36,50,1500,3.3333333333333335,0.02931236097787959,Apoe|Cd163|Dab2|Stab1,0.29661375748648505
shared,Reactome,REACTOME_VISUAL_PHOTOTRANSDUCTION,2,12,50,1500,5.0,0.05807792677281182,Apoe|Ttr,0.3678268695611416
shared,GO_BP,GOBP_ACIDIC_AMINO_ACID_TRANSPORT,1,20,50,1500,1.5,0.49461650530034706,Slc6a6,1.0
shared,GO_BP,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0,16,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ACTIN_FILAMENT_BASED_PROCESS,4,114,50,1500,1.0526315789473684,0.5356176863014659,Bst2|Cflar|Mef2c|Tyrobp,1.0
shared,GO_BP,GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0,29,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ACTIN_FILAMENT_ORGANIZATION,0,60,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,0,15,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,0,20,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ACTION_POTENTIAL,0,28,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ACTIVATED_T_CELL_PROLIFERATION,2,10,50,1500,6.0,0.04131092728840577,Laptm5|Lilrb4a,0.3858060738141343
shared,GO_BP,GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,10,52,50,1500,5.769230769230769,3.7017070403232225e-06,C1qa|C1qc|C5ar1|Laptm5|Lilrb4a|Mef2c|Pik3ap1|Ptprc|Tec|Tyrobp,0.001229692384636016
shared,GO_BP,GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,2,25,50,1500,2.4,0.20153398901832625,Pik3ap1|Tyrobp,0.9047619843088474
shared,GO_BP,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,2,38,50,1500,1.5789473684210527,0.3640022098915078,Cflar|Mef2c,1.0
shared,GO_BP,GOBP_ACUTE_INFLAMMATORY_RESPONSE,1,18,50,1500,1.6666666666666667,0.45869546617711976,Cd163,1.0
shared,GO_BP,GOBP_ACUTE_PHASE_RESPONSE,1,10,50,1500,3.0,0.2882684421548648,Cd163,1.0
shared,GO_BP,GOBP_ADAPTIVE_IMMUNE_RESPONSE,9,46,50,1500,5.869565217391304,1.049954325520615e-05,C1qa|C1qc|Csf2rb2|Lgals1|Lilrb4a|Mef2c|Pf4|Ptprc|Tec,0.0028436262982849993
shared,GO_BP,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,8,39,50,1500,6.153846153846153,2.4060072828157465e-05,C1qa|C1qc|Csf2rb2|Lgals1|Lilrb4a|Mef2c|Pf4|Ptprc,0.004887202293219485
shared,GO_BP,GOBP_ADAPTIVE_THERMOGENESIS,0,23,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1,25,50,1500,1.2,0.5745095173169409,Pf4,1.0
shared,GO_BP,GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0,10,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1,34,50,1500,0.8823529411764706,0.6883105763500479,Pf4,1.0
shared,GO_BP,GOBP_ADHERENS_JUNCTION_ORGANIZATION,0,11,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ADRENAL_GLAND_DEVELOPMENT,1,11,50,1500,2.7272727272727275,0.31215205147852715,Ly6e,1.0
shared,GO_BP,GOBP_ADULT_BEHAVIOR,1,35,50,1500,0.8571428571428571,0.6989411842507965,Cxcl12,1.0
shared,GO_BP,GOBP_ADULT_LOCOMOTORY_BEHAVIOR,1,20,50,1500,1.5,0.49461650530034706,Cxcl12,1.0
shared,GO_BP,GOBP_AEROBIC_RESPIRATION,3,15,50,1500,6.0,0.011956460152065383,mt-Co2|mt-Co3|mt-Nd4,0.195774081925416
shared,GO_BP,GOBP_ALCOHOL_METABOLIC_PROCESS,2,23,50,1500,2.608695652173913,0.17706049687331893,Apoe|Dab2,0.8487413198204816
shared,GO_BP,GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,0,16,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_ALPHA_BETA_T_CELL_ACTIVATION,4,25,50,1500,4.8,0.008242907697159811,Lgals1|Lilrb4a|Pf4|Ptprc,0.16536697540598388
shared,GO_BP,GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,3,20,50,1500,4.5,0.026644162448827665,Lgals1|Lilrb4a|Pf4,0.30589546993077577
shared,GO_BP,GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,1,48,50,1500,0.625,0.8086739419485636,Cxcl12,1.0
shared,GO_BP,GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0,11,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_AMIDE_METABOLIC_PROCESS,1,34,50,1500,0.8823529411764706,0.6883105763500479,Apoe,1.0
shared,GO_BP,GOBP_AMIDE_TRANSPORT,0,53,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_AMINE_METABOLIC_PROCESS,2,16,50,1500,3.75,0.0970847228115921,Ly6e|Sat1,0.6211128920032959
shared,GO_BP,GOBP_AMINE_TRANSPORT,1,24,50,1500,1.25,0.5595904961849962,Cxcl12,1.0
shared,GO_BP,GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,0,10,50,1500,0.0,1.0,,1.0
shared,GO_BP,GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE,1,20,50,1500,1.5,0.49461650530034706,Slc6a6,1.0
shared,GO_BP,GOBP_AMINO_ACID_METABOLIC_PROCESS,0,19,50,1500,0.0,1.0,,1.0
